JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2402283.3740	9.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402285.3240	9.45			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402297.4040	9.30			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402299.5640	9.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402312.3840	8.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402315.3340	8.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402316.3740	8.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402318.3240	8.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402319.3140	8.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402320.3740	8.30			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402323.4140	8.30			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402324.3540	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402330.3440	8.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402334.3340	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402335.3540	8.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402336.3740	8.20			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402337.3440	8.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402338.3740	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402340.3540	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402342.4340	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402344.4740	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402345.3540	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402346.3540	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402347.3540	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402348.4040	8.05			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402349.3640	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402350.3840	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402351.3740	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
